Store,Date,Actual_Demand,Forecast_Demand,sigma_demand,Safety_Stock,Reorder_Point,Recommended_Inventory,Stockout_Risk_pct
155,2015-06-20,7026,6300.174,1455.8117520721153,6335.508788668445,50436.72678866844,94537.94478866845,5.000000000000016
769,2015-06-20,9986,11749.98,1423.2369307038941,6193.747282227847,88443.60728222785,170693.46728222785,4.999999999999993
920,2015-06-20,6093,6055.0127,879.1512397186741,3825.9551057192657,46211.04400571927,88596.13290571928,5.000000000000004
1084,2015-06-20,5898,5492.6123,925.1328478693658,4026.061254155815,42474.34735415581,80922.63345415582,5.000000000000004
863,2015-06-20,5780,5397.1885,2795.2693380806495,12164.658949138724,49944.978449138725,87725.29794913872,5.000000000000004
675,2015-06-20,1884,1954.6528,1367.8882663417378,5952.876888780074,19635.446488780075,33318.016088780074,5.000000000000004
111,2015-06-20,6039,6146.6553,1415.1250011802854,6158.445189964385,49185.03228996439,92211.61938996438,5.000000000000016
884,2015-06-20,5578,5737.4375,1382.152273411493,6014.9520451479475,46177.01454514795,86339.07704514795,5.000000000000004
649,2015-06-20,1295,1469.4791,1387.2323475924584,6037.059886065416,16323.413586065417,26609.767286065417,5.000000000000004
547,2015-06-20,6061,5969.8857,1151.4618474821043,5011.01646154173,46800.21636154173,88589.41626154173,5.000000000000004
47,2015-06-20,5430,6274.1733,1522.3382004507807,6625.023485731458,50544.23658573146,94463.44968573147,5.000000000000004
498,2015-06-20,7373,7451.706,815.6436989753278,3549.5783132160414,55711.520313216046,107873.46231321605,4.999999999999993
601,2015-06-20,4727,4752.3354,936.0488990321536,4073.5665294642195,37339.91432946422,70606.26212946422,5.000000000000016
79,2015-06-20,4637,4039.6445,1295.235850799157,5636.702756696814,33914.21425669681,62191.72575669681,5.000000000000016
697,2015-06-20,10008,10922.609,2392.878665790502,10413.505589410832,86871.76858941084,163330.03158941085,4.999999999999993
883,2015-06-20,3094,3345.3384,1214.8864783066801,5287.03244055496,28704.40124055496,52121.770040554955,5.000000000000016
865,2015-06-20,9606,7744.2075,1436.4939874089641,6251.44031784684,60460.89281784684,114670.34531784683,5.000000000000004
1094,2015-06-20,5463,5156.981,935.4754160441502,4071.0708039657293,40169.93780396573,76268.80480396573,4.999999999999993
282,2015-06-20,3144,3461.622,1098.988346188199,4782.658414461427,29014.012414461427,53245.36641446143,5.000000000000004
96,2015-06-20,1935,2761.9846,2282.453162012664,9932.947750334548,29266.839950334546,48600.732150334545,5.000000000000004
523,2015-06-20,14643,15059.9375,1893.3833415768843,8239.76505465424,113659.32755465424,219078.89005465424,5.000000000000004
10,2015-06-20,4736,5069.962,838.5631937338136,3649.3210582979855,39139.05505829799,74628.78905829799,4.999999999999993
971,2015-06-20,7970,7036.406,3774.231428345724,16424.978264338464,65679.82026433846,114934.66226433846,5.000000000000004
760,2015-06-20,8210,8132.8857,869.7509017152453,3785.046022554901,60715.2459225549,117645.4458225549,4.999999999999993
804,2015-06-20,6329,4953.334,833.6683986157673,3628.01952845048,38301.35752845048,72974.69552845048,5.000000000000004
590,2015-06-20,5907,5215.519,1029.2586110913617,4479.203418368187,40987.83641836819,77496.46941836819,4.999999999999993
1006,2015-06-20,6416,6107.9253,1343.551262662608,5846.965323991892,48602.44242399189,91357.91952399188,5.000000000000004
94,2015-06-20,5538,6246.308,1828.6905760648763,7958.230313722784,51682.38631372279,95406.54231372279,5.000000000000004
708,2015-06-20,4865,5513.3125,1106.63907717305,4815.953428961256,43409.14092896126,82002.32842896125,5.000000000000004
526,2015-06-20,7169,8590.624,2796.4440246067206,12169.771036466815,72304.13903646682,132438.50703646682,5.000000000000004
474,2015-06-20,4286,6188.8335,1987.9508134714083,8651.310742794993,51973.14524279499,95294.979742795,5.000000000000004
1096,2015-06-20,5273,5591.8955,1279.6708017765961,5568.965630149971,44712.23413014997,83855.50263014997,5.000000000000004
417,2015-06-20,4770,6017.004,1984.2298975186568,8635.117786743498,50754.145786743495,92873.17378674349,5.000000000000004
123,2015-06-20,3159,4703.305,2559.7298710300806,11139.620951297888,44062.75595129789,76985.89095129789,5.000000000000004
1036,2015-06-20,4764,5217.234,994.5664358916864,4328.2274556018965,40848.8654556019,77369.50345560191,5.000000000000004
1063,2015-06-20,3449,3686.5457,984.1316821523834,4282.816725863763,30088.636625863764,55894.45652586377,5.000000000000004
588,2015-06-20,4776,5466.16,1089.3658858865272,4740.782683122478,43003.90268312248,81267.02268312247,4.999999999999993
758,2015-06-20,3307,3546.8032,1130.2338706209653,4918.634988608865,29746.257388608865,54573.879788608865,5.000000000000004
335,2015-06-20,9551,8755.855,4805.031713866672,20910.890855018257,82201.87585501825,143492.86085501825,5.000000000000004
280,2015-06-20,5156,6007.4385,1011.0131688490538,4399.80155922345,46451.87105922345,88503.94055922344,4.999999999999993
927,2015-06-20,4594,5256.7397,1931.4689261398153,8405.508706178269,45202.68660617827,81999.86450617827,5.000000000000004
134,2015-06-20,3005,3237.1963,959.1327170759608,4174.024388719994,26834.398488719995,49494.77258871999,5.000000000000004
841,2015-06-20,1267,1747.638,803.9319637250732,3498.6103213016095,15732.07632130161,27965.54232130161,5.000000000000004
445,2015-06-20,10481,7952.454,1894.1569210018722,8243.131574562305,63910.30957456231,119577.48757456231,4.999999999999993
969,2015-06-20,3203,2939.078,693.5109418291701,3018.071986809177,23591.617986809175,44165.16398680917,5.000000000000004
882,2015-06-20,6080,5583.819,922.7814432215346,4015.8282382519064,43102.5612382519,82189.2942382519,5.000000000000016
868,2015-06-20,10253,10270.024,1805.597268330429,7857.73115653246,79747.89915653245,151638.06715653243,4.999999999999993
861,2015-06-20,3002,3909.9473,683.6701000827319,2975.2458870172813,30344.87698701728,57714.50808701728,5.000000000000004
891,2015-06-20,6508,6280.8906,1418.1030185654217,6171.405145322269,50137.63934532227,94103.87354532228,5.000000000000004
1040,2015-06-20,7028,7488.1216,2343.572982955051,10198.933487976232,62615.78468797624,115032.63588797624,5.000000000000004
991,2015-06-20,6779,5177.633,1164.1225475640952,5066.114228492696,41309.545228492694,77552.97622849268,5.000000000000004
747,2015-06-20,5258,6925.744,1696.30810372367,7382.118521940914,55862.326521940915,104342.53452194092,4.999999999999993
748,2015-06-20,4742,5541.2754,1365.5680322029762,5942.7795229929325,44731.70732299294,83520.63512299294,5.000000000000004
842,2015-06-20,23978,21099.336,3379.146143934708,14705.61702955186,162400.96902955184,310096.3210295518,5.000000000000016
396,2015-06-20,5249,6093.04,3030.4934018441163,13188.324351728445,55839.60435172844,98490.88435172844,5.000000000000004
698,2015-06-20,15435,14282.94,2408.7855930600185,10482.730526888696,110463.3105268887,210443.89052688872,4.999999999999993
885,2015-06-20,6253,5298.1743,735.4211898203447,3200.4600902885113,40287.68019028851,77374.90029028851,4.999999999999993
501,2015-06-20,3351,3816.7927,1079.4869944859722,4697.790996043821,31415.33989604382,58132.88879604382,5.000000000000016
422,2015-06-20,3872,3549.1912,652.213001135794,2838.348567318721,27682.68696731872,52527.025367318725,5.000000000000004
628,2015-06-20,3768,4081.9514,1715.4825265360619,7465.563187140687,36039.22298714069,64612.88278714069,5.000000000000004
234,2015-06-20,10432,9486.774,3243.810853791032,14116.654947811652,80524.07294781164,146931.49094781163,5.000000000000004
218,2015-06-20,2194,2747.7546,1526.902401490732,6644.886311924956,25879.16851192496,45113.45071192496,5.000000000000004
9,2015-06-20,6179,5639.29,1666.8637851249005,7253.9805679826895,46729.01056798269,86204.04056798268,5.000000000000004
1062,2015-06-20,5062,5440.2456,1555.479092031491,6769.248458208186,44850.96765820819,82932.68685820818,4.999999999999993
720,2015-06-20,6250,6508.5264,1353.0081551181156,5888.120524985484,51447.80532498548,97007.49012498547,5.000000000000004
835,2015-06-20,4006,4402.028,1348.0603161920906,5866.5881551882685,36680.784155188274,67494.98015518827,5.000000000000004
33,2015-06-20,8094,7369.329,1356.492421101486,5903.283610273318,57488.58661027332,109073.88961027333,5.000000000000004
672,2015-06-20,8744,8082.84,1247.1624160284803,5427.493243133266,62007.37324313327,118587.25324313328,5.000000000000016
237,2015-06-20,3669,3764.9438,680.6833246861246,2962.2478179001373,29316.854417900136,55671.46101790013,5.000000000000004
719,2015-06-20,6386,5347.8003,992.2796440288548,4318.2756263738365,41752.87772637383,79187.47982637383,5.000000000000016
577,2015-06-20,3254,3713.816,744.8698790940673,3241.579592071529,29238.291592071528,55235.00359207153,5.000000000000004
1061,2015-06-20,7969,7684.783,1517.2871571463902,6603.0419835205,60396.5229835205,114190.0039835205,5.000000000000004
709,2015-06-20,5489,6411.5522,2592.7383085806455,11283.269500572313,56164.13490057232,101045.00030057231,5.000000000000004
316,2015-06-20,9222,9372.736,2620.9165118463607,11405.897480587395,77015.04948058739,142624.2014805874,5.000000000000016
805,2015-06-20,4360,5316.367,1408.4515019457847,6129.402964559094,43343.971964559096,80558.5409645591,5.000000000000004
639,2015-06-20,2468,2616.5798,1303.138426058898,5671.093765657924,23987.152365657923,42303.21096565793,5.000000000000004
420,2015-06-20,5408,5349.4907,856.1794587101649,3725.9848174841095,41172.41971748411,78618.85461748412,5.000000000000004
206,2015-06-20,5047,6193.1323,2304.7032032720435,10029.777118380516,53381.70321838052,96733.62931838052,5.000000000000004
1107,2015-06-20,4762,4710.504,1840.9292743349579,8011.491582112464,40985.019582112465,73958.54758211246,4.999999999999993
339,2015-06-20,3576,4540.167,1025.1514096189371,4461.329396546107,36242.49839654611,68023.66739654611,5.000000000000016
887,2015-06-20,5317,5611.756,1655.5329579058991,7204.6702396887395,46486.96223968874,85769.25423968874,5.000000000000004
631,2015-06-20,4094,5459.5166,992.4902130441887,4319.191996121072,42535.80819612107,80752.42439612106,5.000000000000004
845,2015-06-20,4571,4659.7295,905.8752096190233,3942.2544458851817,36560.360945885186,69178.46744588518,4.999999999999993
528,2015-06-20,8501,8994.7,2606.637688935568,11343.757847551458,74306.65784755147,137269.55784755148,5.000000000000004
476,2015-06-20,2468,4006.6917,2086.444974360569,9079.944885264047,37126.78678526405,65173.62868526405,5.000000000000004
114,2015-06-20,4701,5220.365,1041.191655924983,4531.1345216247555,41073.68952162476,77616.24452162476,5.000000000000004
1047,2015-06-20,3445,3606.796,1268.7554355242846,5521.463335485413,30769.035335485412,56016.607335485416,5.000000000000004
546,2015-06-20,12987,12828.199,2055.396200585016,8944.824545115389,98742.2175451154,188539.61054511543,5.000000000000004
301,2015-06-20,4418,4435.3516,1071.0912477093427,4661.253766958356,35708.71496695835,66756.17616695835,5.000000000000016
573,2015-06-20,2474,2269.488,1131.9284917099828,4926.009765455976,20812.425765455977,36698.841765455974,4.999999999999993
25,2015-06-20,8067,9438.165,2083.8617389660103,9068.702971244511,75135.8579712445,141203.01297124452,5.000000000000004
429,2015-06-20,5086,5051.209,1055.8235985544102,4594.810887055989,39953.273887055984,75311.73688705597,5.000000000000004
283,2015-06-20,7580,7671.936,1335.7339555465494,5812.945391217606,59516.4973912176,113220.04939121759,5.000000000000016
572,2015-06-20,5732,6650.4473,1453.1090425894329,6323.746938514138,52876.878038514136,99430.00913851414,5.000000000000004
1077,2015-06-20,3023,3363.751,1112.283074033585,4840.515390122951,28386.772390122955,51933.02939012296,4.999999999999993
928,2015-06-20,6485,7029.794,2440.035731083782,10618.72717880118,59827.285178801176,109035.84317880118,5.000000000000004
379,2015-06-20,3178,3839.2249,941.8101036113195,4098.6385638070315,30973.21286380703,57847.787163807036,5.000000000000004
209,2015-06-20,4331,3329.835,1794.1978017276,7808.122118313363,31116.967118313365,54425.81211831336,5.000000000000004
180,2015-06-20,6950,6602.5366,1448.0199596166678,6301.599892473106,52519.35609247311,98737.11229247312,5.000000000000016
307,2015-06-20,1201,1506.3771,904.1055432488675,3934.5530814572776,14479.192781457277,25023.832481457277,5.000000000000004
1111,2015-06-20,2738,2735.4697,1580.9009158537185,6879.881023181273,26028.16892318127,45176.456823181274,5.000000000000016
295,2015-06-20,5199,5222.2666,1008.0212806775627,4386.781239956062,40942.64743995606,77498.51363995606,4.999999999999993
407,2015-06-20,4500,3311.0178,765.4429143786047,3331.1108420214305,26508.23544202143,49685.36004202143,5.000000000000004
988,2015-06-20,4998,4074.6194,838.6764339836458,3649.813865556219,32172.14966555622,60694.48546555622,5.000000000000004
440,2015-06-20,3459,4706.7056,1279.5913338285734,5568.619795681744,38515.55899568174,71462.49819568175,5.000000000000016
409,2015-06-20,5584,5815.306,1167.2397881277402,5079.680065531213,45786.82206553121,86493.96406553121,5.000000000000004
567,2015-06-20,3314,4001.8447,1341.5588895098824,5838.29476778747,33851.20766778747,61864.12056778747,4.999999999999993
958,2015-06-20,2838,2801.2375,707.9301421799346,3080.8225247257815,22689.485024725785,42298.14752472579,4.999999999999993
203,2015-06-20,5748,6122.141,1441.9817178843318,6275.322227446107,49130.3092274461,91985.29622744609,5.000000000000004
302,2015-06-20,4364,3926.8547,873.2414979792828,3800.236656424305,31288.219556424305,58776.202456424304,5.000000000000004
839,2015-06-20,1925,2662.6055,1295.4331317557794,5637.561298491615,24275.799798491615,42914.038298491614,5.000000000000004
61,2015-06-20,4885,4415.6196,1167.8170302286214,5082.192150213945,35991.52935021395,66900.86655021395,5.000000000000004
45,2015-06-20,5313,5011.849,1147.356509947772,4993.1505513427,40076.093551342696,75159.0365513427,5.000000000000016
356,2015-06-20,6823,6166.4653,939.5746170046962,4088.910008571059,47254.16710857106,90419.42420857106,5.000000000000004
864,2015-06-20,2995,3401.069,1064.248817160522,4631.476373819301,28438.9593738193,52246.4423738193,5.000000000000016
364,2015-06-20,3415,4053.7495,1161.8638261752988,5056.2845584206525,33432.53105842065,61808.777558420654,5.000000000000004
508,2015-06-20,5238,5943.9106,1851.1773650251855,8056.0899778477615,49663.46417784776,91270.83837784776,5.000000000000004
479,2015-06-20,7239,8881.24,2454.856575392357,10683.225620470452,72851.90562047045,135020.58562047046,5.000000000000004
652,2015-06-20,4319,4003.5215,2084.8809674117747,9073.138524650787,37097.78902465079,65122.43952465079,4.999999999999993
1026,2015-06-20,7762,8102.3066,2342.8886080830016,10195.955175010671,66912.10137501068,123628.24757501068,4.999999999999993
139,2015-06-20,2473,4552.804,1600.9611269125412,6967.180526901327,38836.808526901325,70706.43652690132,5.000000000000004
924,2015-06-20,3015,2565.271,1340.777301144519,5834.893393982901,23791.7903939829,41748.6873939829,5.000000000000004
646,2015-06-20,3685,3875.2913,760.1064081588347,3307.887041273831,30434.92614127383,57561.96524127383,4.999999999999993
524,2015-06-20,6687,5919.134,2815.360457516428,12252.092962209706,53686.03096220971,95119.9689622097,5.000000000000004
741,2015-06-20,7947,7490.986,1458.1957186958707,6345.883510177045,58782.78551017705,111219.68751017706,5.000000000000004
749,2015-06-20,2103,2127.7065,1526.4085068830852,6642.736945000993,21536.68244500099,36430.62794500099,5.000000000000004
1028,2015-06-20,3151,3365.939,1763.759521753097,7675.65857004489,31237.23157004489,54798.804570044886,5.000000000000016
497,2015-06-20,6845,7653.8677,1773.929331938743,7719.916298915772,61296.990198915766,114874.06409891575,5.000000000000004
650,2015-06-20,6237,6121.642,1009.7869696811981,4394.465295387449,47245.959295387445,90097.45329538744,5.000000000000016
431,2015-06-20,9444,9323.751,1787.2677420043187,7777.963374079878,73044.22037407987,138310.47737407987,5.000000000000016
696,2015-06-20,6492,7150.786,2094.2026172982446,9113.705167073174,59169.207167073175,109224.70916707318,5.000000000000004
135,2015-06-20,5823,6201.771,1188.7884569604053,5173.457149401526,48585.85414940152,91998.25114940152,5.000000000000004
367,2015-06-20,4645,5023.0635,1329.782678641064,5787.046186128186,40948.490686128185,76109.93518612819,5.000000000000004
39,2015-06-20,2753,2794.4949,2110.437713764178,9184.35825542639,28745.82255542639,48307.28685542639,5.000000000000004
137,2015-06-20,6712,7738.5825,1419.881670640437,6179.145614402289,60349.22311440229,114519.30061440228,5.000000000000004
1113,2015-06-20,5431,5423.8506,992.6891029785802,4320.057539983814,42287.01173998381,80253.96593998381,5.000000000000016
269,2015-06-20,7667,7260.5034,3247.0502590901488,14130.752430342205,64954.2762303422,115777.80003034219,5.000000000000004
26,2015-06-20,6367,5823.5547,1641.1272229991687,7141.978301683078,47906.861201683074,88671.74410168307,5.000000000000004
592,2015-06-20,2250,2999.5032,1232.3318238761603,5362.952380079754,26359.474780079756,47355.99718007976,5.000000000000004
194,2015-06-20,4875,4697.407,678.3123242249138,2951.929523492528,35833.77852349253,68715.62752349253,4.999999999999993
989,2015-06-20,3090,3869.9116,1260.8506907512203,5487.06288507646,32576.44408507646,59665.825285076455,5.000000000000004
243,2015-06-20,5102,5446.3545,2025.5574728607546,8814.970172480558,46939.45167248056,85063.93317248055,5.000000000000004
173,2015-06-20,5728,6161.5405,1714.7333055596105,7462.302672122721,50593.08617212272,93723.86967212272,5.000000000000004
643,2015-06-20,5457,6198.645,1670.6966889405055,7270.660881062539,50661.17588106254,94051.69088106253,5.000000000000004
397,2015-06-20,4409,4981.9272,1677.5601070136615,7300.529609255517,42174.02000925552,77047.51040925551,5.000000000000016
66,2015-06-20,6212,6038.7812,932.0554846342429,4056.1876946122907,46327.6560946123,88599.1244946123,4.999999999999993
358,2015-06-20,9253,8860.603,2478.0942828537814,10784.353187026232,72808.57418702623,134832.7951870262,4.999999999999993
710,2015-06-20,5104,4606.363,1030.4414749675639,4484.351092490759,36728.89209249076,68973.43309249076,5.000000000000016
266,2015-06-20,2126,2751.8364,1051.0661166687846,4574.106927045081,23836.961727045084,43099.816527045085,4.999999999999993
250,2015-06-20,7384,8441.914,2219.0616842757377,9657.076049369545,68750.47404936954,127843.87204936954,5.000000000000004
922,2015-06-20,8862,7103.0303,1419.9577333033037,6179.476629499808,55900.688729499816,105621.90082949982,4.999999999999993
626,2015-06-20,7355,7690.4736,2567.0386749366758,11171.427942359047,65004.74314235905,118838.05834235906,5.000000000000004
740,2015-06-20,8000,6401.001,1757.0697619263367,7646.545580596774,52453.55258059677,97260.55958059678,5.000000000000004
981,2015-06-20,5934,5969.0522,1715.2297473536557,7464.463124080029,49247.82852408003,91031.19392408003,5.000000000000004
222,2015-06-20,3085,3279.469,1419.6423768544396,6178.104238082788,29134.38723808279,52090.67023808279,4.999999999999993
113,2015-06-20,5650,5462.1265,863.2107239967603,3756.5839955408046,41991.469495540805,80226.35499554081,5.000000000000027
798,2015-06-20,2884,4149.367,2795.269880047156,12164.661307708478,41210.23030770848,70255.79930770848,5.000000000000004
391,2015-06-20,2653,3371.7007,1779.8922377944466,7745.866111727106,31347.771011727105,54949.6759117271,5.000000000000004
34,2015-06-20,7400,7809.716,1155.4846403232664,5028.5231476664285,59696.53514766643,114364.54714766642,5.000000000000004
496,2015-06-20,7067,7191.5503,1970.1081214859328,8573.661601876473,58914.513701876465,109255.36580187647,5.000000000000016
630,2015-06-20,2319,3058.6846,2104.5279048515567,9158.639513802022,30569.43171380202,51980.22391380202,5.000000000000004
889,2015-06-20,2676,3535.8474,1059.420815525077,4610.465520768053,29361.397320768054,54112.32912076806,5.000000000000004
688,2015-06-20,1576,1621.1329,1243.8007846733403,5412.863848251382,16760.79414825138,28108.72444825138,5.000000000000004
72,2015-06-20,2031,2630.1567,1729.9428281032142,7528.492592357463,25939.589492357463,44350.686392357464,5.000000000000004
294,2015-06-20,3560,4125.584,1596.2015619704082,6946.467501691712,35825.55550169171,64704.64350169171,5.000000000000004
509,2015-06-20,3841,4033.4504,1618.6253767764833,7044.053110254875,35278.205910254874,63512.35871025488,5.000000000000004
596,2015-06-20,4688,4374.518,685.5956056472047,2983.6254439270156,33605.251443927016,64226.87744392702,5.000000000000004
925,2015-06-20,7438,6835.451,1239.13766826755,5392.570554884695,53240.727554884696,101088.88455488469,5.000000000000004
360,2015-06-20,4530,5141.545,1551.7896098065116,6753.192297767991,42744.007297767996,78734.822297768,4.999999999999993
1035,2015-06-20,1737,2384.7998,1856.027874902147,8077.198783921947,24770.797383921945,41464.395983921946,5.000000000000004
589,2015-06-20,2554,3186.1824,1770.3334564783133,7704.267503286747,30007.544303286748,52310.82110328675,5.000000000000004
264,2015-06-20,4885,5521.1777,1597.9826146681264,6954.218417978392,45602.462317978396,84250.7062179784,4.999999999999993
550,2015-06-20,5395,6480.2246,1382.3121397586492,6015.647763290061,51377.21996329006,96738.79216329005,4.999999999999993
527,2015-06-20,10405,11828.795,1742.4593535720007,7582.962929609666,90384.52792960967,173186.09292960967,5.000000000000004
800,2015-06-20,4596,4139.807,1258.2639970240264,5475.805920830289,34454.454920830285,63433.10392083028,5.000000000000004
430,2015-06-20,8750,8899.479,1548.3254432324327,6738.11668256963,69034.46968256963,131330.82268256962,4.999999999999993
843,2015-06-20,8660,8662.11,1476.9679118531008,6427.577722743286,67062.34772274329,127697.11772274329,5.000000000000004
1037,2015-06-20,5806,5656.4785,1370.1580246977605,5962.754590338855,45558.10409033886,85153.45359033886,5.000000000000016
333,2015-06-20,8868,8639.621,1925.7240883282798,8380.507897940079,68857.85489794007,129335.20189794006,5.000000000000016
605,2015-06-20,6726,6817.1943,1651.9749799808487,7189.186369344953,54909.546469344954,102629.90656934495,4.999999999999993
157,2015-06-20,7325,7703.685,2579.5273070053317,11225.776891058491,65151.5718910585,119077.36689105851,5.000000000000004
499,2015-06-20,4971,5651.7188,1166.1884121546211,5075.104610148049,44637.13621014804,84199.16781014804,5.000000000000016
255,2015-06-20,6532,6261.43,1278.0989299395555,5562.12504253687,49392.13504253687,93222.14504253687,5.000000000000004
125,2015-06-20,8303,8276.925,2896.989333773941,12607.33151705892,70545.80651705891,128484.2815170589,5.000000000000004
439,2015-06-20,5314,5241.7812,1707.6231330032417,7431.360099598693,44123.8284995987,80816.2968995987,5.000000000000004
213,2015-06-20,8122,8407.751,2010.9357246082595,8751.338171689571,67605.59517168957,126459.85217168956,5.000000000000004
955,2015-06-20,4381,5020.0303,1128.2969574265107,4910.205787134918,40050.41788713492,75190.62998713492,5.000000000000004
801,2015-06-20,3219,4630.684,1252.231986145713,5449.555371692666,37864.34337169267,70279.13137169267,5.000000000000004
500,2015-06-20,6088,5868.094,913.2933207109065,3974.5371280046597,45051.19512800466,86127.85312800467,5.000000000000004
866,2015-06-20,6052,6768.3345,1542.7029812980088,6713.648438685217,54091.98993868522,101470.33143868521,5.000000000000004
677,2015-06-20,5479,6452.9517,1582.395022030566,6886.383184467682,52057.04508446768,97227.70698446769,5.000000000000004
475,2015-06-20,6723,5936.7256,1085.6649236466847,4724.676563108213,46281.755763108216,87838.83496310821,4.999999999999993
308,2015-06-20,7096,6521.6553,2206.098595404044,9600.662324615632,55252.249424615635,100903.83652461565,5.000000000000004
199,2015-06-20,8214,8402.375,1820.5806904871683,7922.937116453609,66739.56211645361,125556.18711645361,4.999999999999993
272,2015-06-20,3261,3362.4963,2119.2574390817786,9222.740585548241,32760.214685548242,56297.68878554824,5.000000000000004
753,2015-06-20,6250,8429.772,1707.9004035674204,7432.566746058095,66440.9707460581,125449.3747460581,5.000000000000027
654,2015-06-20,2667,4621.455,2529.754262065151,11009.170888799978,43359.355888799975,75709.54088879997,5.000000000000004
970,2015-06-20,1178,1738.3422,1104.7521639164884,4807.7418208990275,16976.13722089903,29144.53262089903,5.000000000000004
608,2015-06-20,4357,5053.8374,3127.9174776720806,13612.301619227104,48989.1634192271,84366.0252192271,5.000000000000004
990,2015-06-20,4893,5203.5757,1536.3710848440362,6686.092825415862,43111.122725415866,79536.15262541587,4.999999999999993
512,2015-06-20,5426,5577.047,1270.3432263147195,5528.373200372168,44567.702200372165,83607.03120037216,5.000000000000004
637,2015-06-20,7159,8214.992,1720.0131732320956,7485.279989069382,64990.22398906939,122495.16798906939,4.999999999999993
1008,2015-06-20,4905,4627.022,1273.3387663120614,5541.409411924214,37930.56341192421,70319.71741192421,5.000000000000016
378,2015-06-20,6469,6213.753,1380.6956201140933,6008.61287406035,49504.88387406035,93001.15487406036,4.999999999999993
458,2015-06-20,9673,6927.424,1857.9841532674877,8085.712260172608,56577.68026017261,105069.6482601726,5.000000000000004
449,2015-06-20,7452,7986.384,2676.2528034205043,11646.714029225162,67551.40202922517,123456.09002922516,5.000000000000004
926,2015-06-20,7038,7014.6973,1734.3036351373319,7547.470273538436,56650.35137353843,105753.23247353843,5.000000000000004
450,2015-06-20,10205,9996.292,1587.9196645043346,6910.42573041979,76884.46973041979,146858.5137304198,4.999999999999982
548,2015-06-20,4058,4572.3027,1319.2445979405863,5741.185790511414,37747.30469051142,69753.42359051142,5.000000000000004
112,2015-06-20,5589,5400.3096,741.0717743327189,3225.050720078597,41027.21792007859,78829.38512007859,5.000000000000016
115,2015-06-20,10063,8514.735,1410.2148218190591,6137.076709834513,65740.22170983451,125343.36670983452,5.000000000000016
95,2015-06-20,3742,3568.3022,2226.3915096008986,9688.974522988035,34667.08992298804,59645.20532298804,5.000000000000004
18,2015-06-20,4671,5374.051,1624.2662743174405,7068.6015835694,44686.9585835694,82305.3155835694,5.000000000000004
459,2015-06-20,5378,7022.53,2474.1302544716414,10767.10223640172,59924.81223640172,109082.52223640171,5.000000000000004
